locus_tag	old_locus_tag	gene	Name	start	end	strand	product	note	type	ID	NCBI
MSMEG_0771	MSMEG_0771		MSMEG_0771	855584	856444	-	short chain dehydrogenase	identified by match to protein family HMM PF00106	gene	gene770	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0771
MSMEG_0772	MSMEG_0772		MSMEG_0772	856524	857672	-	phytase		gene	gene771	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0772
MSMEG_0773	MSMEG_0773		MSMEG_0773	857779	858309	+	acetyltransferase	identified by match to protein family HMM PF00583	gene	gene772	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0773
MSMEG_0774	MSMEG_0774		MSMEG_0774	858306	859402	+		flavin-dependent oxidoreductase%3B this gene contains a frame shift which is not the result of sequencing error	gene	gene773	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0774
MSMEG_0775	MSMEG_0775		MSMEG_0775	859776	860522	-	metallo-beta-lactamase superfamily protein	identified by match to protein family HMM PF00753	gene	gene775	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0775
MSMEG_0776	MSMEG_0776		MSMEG_0776	859468	859779	+	hypothetical protein		gene	gene774	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0776
MSMEG_0777	MSMEG_0777		MSMEG_0777	860554	861567	+	F420-dependent glucose-6-phosphate dehydrogenase	identified by match to protein family HMM PF00296	gene	gene776	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0777
MSMEG_0778	MSMEG_0778		MSMEG_0778	861746	862510	-	transcriptional regulator	identified by match to protein family HMM PF00392%3B match to protein family HMM PF07702	gene	gene777	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0778
MSMEG_0779	MSMEG_0779		MSMEG_0779	862519	863295	-	short chain dehydrogenase	identified by match to protein family HMM PF00106%3B match to protein family HMM PF01073	gene	gene778	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0779
MSMEG_0780	MSMEG_0780		MSMEG_0780	863307	864413	-	phosphotransferase enzyme family protein	identified by match to protein family HMM PF01636	gene	gene779	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0780
MSMEG_0781	MSMEG_0781		MSMEG_0781	864599	866176	+	amino acid permease	identified by match to protein family HMM PF00324	gene	gene780	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0781
MSMEG_0782	MSMEG_0782		MSMEG_0782	866234	867556	+	class III aminotransferase	identified by match to protein family HMM PF00202	gene	gene781	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0782
MSMEG_0783	MSMEG_0783	pta	pta	867578	869656	+	phosphate acetyltransferase	catalyzes the synthesis of acetylphosphate or propionylphosphate from acetyl-CoA or propionyl-CoA and inorganic phosphate%3B when using propionyl-CoA the enzyme is functioning in the anaerobic pathway catabolizing threonine to propionate	gene	gene782	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0783
MSMEG_0784	MSMEG_0784	ackA	ackA	869653	870783	+	acetate kinase	AckA utilizes acetate and can acetylate CheY which increases signal strength during flagellar rotation%3B utilizes magnesium and ATP%3B also involved in conversion of acetate to aceyl-CoA	gene	gene783	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0784
MSMEG_0785	MSMEG_0785		MSMEG_0785	870902	871771	-	hypothetical protein		gene	gene784	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0785
MSMEG_0786	MSMEG_0786		MSMEG_0786	872016	874298	-	serine/threonine protein kinase	identified by match to protein family HMM PF00069	gene	gene785	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0786
MSMEG_0787	MSMEG_0787		MSMEG_0787	874298	875266	-	extracellular solute-binding protein	identified by match to protein family HMM PF00497	gene	gene786	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0787
MSMEG_0788	MSMEG_0788		MSMEG_0788	875362	876675	-	hypothetical protein		gene	gene787	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0788
MSMEG_0789	MSMEG_0789	thiE	thiE	877325	878008	-	thiamine-phosphate pyrophosphorylase	Condenses 4-methyl-5-(beta-hydroxyethyl)-thiazole monophosphate and 4-amino-5-hydroxymethyl pyrimidine pyrophosphate to form thiamine monophosphate	gene	gene789	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0789
MSMEG_0790	MSMEG_0790		MSMEG_0790	876862	877341	+	NUDIX family hydrolase	identified by match to protein family HMM PF00293	gene	gene788	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0790
MSMEG_0791	MSMEG_0791	thiO	thiO	878147	879151	+	glycine oxidase ThiO	identified by match to protein family HMM PF01266%3B match to protein family HMM TIGR02352	gene	gene790	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0791
MSMEG_0792	MSMEG_0792	thiS	thiS	879148	879348	+	sulfur carrier protein ThiS	with ThiF%2C ThiG%2C and ThiO catalyzes the formation of the thiazole moiety of thiamine pyrophosphate	gene	gene791	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0792
MSMEG_0793	MSMEG_0793	thiG	thiG	879341	880099	+	thiazole synthase	functions in thiamine (vitamin B1) biosynthesis%3B in Bacillus subtilis this enzyme catalyzes the formation of thiazole from dehydroxyglycine and 1-deoxy-D-xylulose-5-phosphate and ThiS-thiocarboxylate	gene	gene792	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0793
MSMEG_0794	MSMEG_0794		MSMEG_0794	880120	880869	+	hypothetical protein		gene	gene793	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0794
MSMEG_0795	MSMEG_0795		MSMEG_0795	880883	881794	+	ABC transporter ATP-binding protein	identified by match to protein family HMM PF00005	gene	gene794	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0795
MSMEG_0796	MSMEG_0796		MSMEG_0796	881791	882549	+	ABC transporter		gene	gene795	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0796
MSMEG_0797	MSMEG_0797		MSMEG_0797	882618	884989	+		conserved hypothetical protein%3B this gene contains a frame shift which is not the result of sequencing error	gene	gene796	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0797
MSMEG_0798	MSMEG_0798		MSMEG_0798	885068	885736	+	hypothetical protein		gene	gene797	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0798
MSMEG_0799	MSMEG_0799		MSMEG_0799	885893	886069	+	hypothetical protein		gene	gene798	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0799
MSMEG_0800	MSMEG_0800		MSMEG_0800	886332	886511	+	hypothetical protein		gene	gene799	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0800
MSMEG_0801	MSMEG_0801		MSMEG_0801	886821	887522	+	IS1096%2C tnpR protein	identified by similarity to GP:150004%3B match to protein family HMM PF07929	gene	gene800	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0801
MSMEG_0802	MSMEG_0802		MSMEG_0802	887530	888852	-	IS1096%2C tnpA protein	identified by similarity to GP:150005%3B match to protein family HMM PF01610	gene	gene801	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0802
MSMEG_0803	MSMEG_0803		MSMEG_0803	888571	889056	+	hypothetical protein		gene	gene802	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0803
MSMEG_0804	MSMEG_0804		MSMEG_0804	889186	889623	-	hypothetical protein		gene	gene803	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0804
MSMEG_0805	MSMEG_0805		MSMEG_0805	889631	890662	+	hypothetical protein		gene	gene804	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0805
MSMEG_0806	MSMEG_0806		MSMEG_0806	890643	892154	+	hydrolase	identified by match to protein family HMM PF01546%3B match to protein family HMM PF02225%3B match to protein family HMM PF04389	gene	gene805	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0806
MSMEG_0807	MSMEG_0807		MSMEG_0807	892151	893602	+	leupeptin-inactivating enzyme 1	identified by match to protein family HMM PF01546%3B match to protein family HMM PF02225%3B match to protein family HMM PF04389	gene	gene806	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0807
MSMEG_0808	MSMEG_0808		MSMEG_0808	893674	894762	+	chalcone synthase Pks10	identified by match to protein family HMM PF00195%3B match to protein family HMM PF02797	gene	gene807	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0808
MSMEG_0809	MSMEG_0809		MSMEG_0809	894762	895265	+	isoprenylcysteine carboxyl methyltransferase	identified by match to protein family HMM PF04140	gene	gene808	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0809
MSMEG_0810	MSMEG_0810		MSMEG_0810	896271	897566	-	pyrimidine permease RutG	identified by match to protein family HMM PF00860%3B match to protein family HMM TIGR00801	gene	gene810	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0810
MSMEG_0811	MSMEG_0811		MSMEG_0811	895262	896290	+	oxidoreductase	identified by match to protein family HMM PF01266%3B match to protein family HMM PF01494	gene	gene809	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0811
MSMEG_0812	MSMEG_0812		MSMEG_0812	897612	898832	-	amino acid transporter	identified by match to protein family HMM PF00324%3B match to protein family HMM PF01490	gene	gene811	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0812
MSMEG_0813	MSMEG_0813		MSMEG_0813	898848	899174	-	hypothetical protein		gene	gene812	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0813
MSMEG_0814	MSMEG_0814		MSMEG_0814	900619	900891	-	membrane protein		gene	gene814	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0814
MSMEG_0815	MSMEG_0815		MSMEG_0815	899192	900652	+	TetR family transcriptional regulator	identified by match to protein family HMM PF00440	gene	gene813	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0815
MSMEG_0816	MSMEG_0816		MSMEG_0816	900908	902392	-	flavin-binding monooxygenase	identified by match to protein family HMM PF01266%3B match to protein family HMM PF07992	gene	gene815	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0816
MSMEG_0817	MSMEG_0817		MSMEG_0817	902464	903387	+	LysR family transcriptional regulator	identified by match to protein family HMM PF00126%3B match to protein family HMM PF03466	gene	gene816	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0817
MSMEG_0818	MSMEG_0818		MSMEG_0818	903499	904851	+	transporter major facilitator family protein	identified by match to protein family HMM PF00083%3B match to protein family HMM PF07690	gene	gene817	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0818
MSMEG_0819	MSMEG_0819		MSMEG_0819	904883	906142	+	N-carbamoyl-L-amino acid amidohydrolase	identified by match to protein family HMM PF01546%3B match to protein family HMM TIGR01879	gene	gene818	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0819
MSMEG_0820	MSMEG_0820		MSMEG_0820	907599	907868	-	hypothetical protein		gene	gene820	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0820
MSMEG_0821	MSMEG_0821		MSMEG_0821	906142	907605	+	glutamyl-tRNA(Gln) amidotransferase subunit A	identified by match to protein family HMM PF01425	gene	gene819	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0821
MSMEG_0822	MSMEG_0822		MSMEG_0822	907874	909241	-	cytochrome P450	identified by match to protein family HMM PF00067	gene	gene821	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0822
MSMEG_0823	MSMEG_0823		MSMEG_0823	909288	909842	-	hypothetical protein		gene	gene822	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0823
MSMEG_0824	MSMEG_0824		MSMEG_0824	909845	910492	-	hypothetical protein		gene	gene823	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0824
MSMEG_0825	MSMEG_0825	thiD	thiD	910482	911318	-	phosphomethylpyrimidine kinase	catalyzes the formation of 4-amino-2-methyl-5-diphosphomethylpyrimidine	gene	gene824	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0825
MSMEG_0826	MSMEG_0826	thiC	thiC	911327	912901	-	thiamine biosynthesis protein ThiC	required for the synthesis of the hydromethylpyrimidine moiety of thiamine	gene	gene825	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0826
MSMEG_0827	MSMEG_0827		MSMEG_0827	913283	915019	+	major facilitator superfamily protein	identified by match to protein family HMM PF07690	gene	gene826	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0827
MSMEG_0828	MSMEG_0828		MSMEG_0828	915135	916205	-	immunogenic protein MPT63		gene	gene827	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0828
MSMEG_0829	MSMEG_0829	xth	xth	916410	917192	-	exodeoxyribonuclease III	identified by match to protein family HMM PF03372%3B match to protein family HMM TIGR00195%3B match to protein family HMM TIGR00633	gene	gene828	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0829
MSMEG_0830	MSMEG_0830		MSMEG_0830	918079	919005	-	acetyltransferase%2C gnat family protein	identified by match to protein family HMM PF00583	gene	gene830	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0830
MSMEG_0831	MSMEG_0831		MSMEG_0831	917379	918095	+	short chain dehydrogenase	identified by match to protein family HMM PF00106%3B match to protein family HMM PF01370	gene	gene829	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0831
MSMEG_0832	MSMEG_0832	def	def	919024	919617	-	peptide deformylase	cleaves off formyl group from N-terminal methionine residues of newly synthesized proteins%3B binds iron(2+)	gene	gene831	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0832
MSMEG_0833	MSMEG_0833		MSMEG_0833	919745	920056	+	hypothetical protein		gene	gene832	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0833
MSMEG_0834	MSMEG_0834		MSMEG_0834	920096	920572	+	tuberculin-like protein		gene	gene833	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0834
MSMEG_0835	MSMEG_0835	sodC	sodC	920583	921293	+	copper/zinc superoxide dismutase	identified by similarity to PDB:1IB5_A.0%3B match to protein family HMM PF00080	gene	gene834	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0835
MSMEG_0836	MSMEG_0836		MSMEG_0836	921274	922404	+	carboxylate-amine ligase	ATP-dependent carboxylate-amine ligase	gene	gene835	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0836
MSMEG_0837	MSMEG_0837		MSMEG_0837	922415	922870	+	hypothetical protein		gene	gene836	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0837
MSMEG_0838	MSMEG_0838		MSMEG_0838	922879	923928	-	AsnC family transcriptional regulator	identified by match to protein family HMM PF01037	gene	gene837	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0838
MSMEG_0839	MSMEG_0839		MSMEG_0839	924025	924651	+	ATP-dependent protease La	identified by match to protein family HMM PF02190	gene	gene838	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0839
MSMEG_0840	MSMEG_0840		MSMEG_0840	924856	925509	-	hypothetical protein		gene	gene839	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0840
MSMEG_0841	MSMEG_0841		MSMEG_0841	925620	926796	-		hypothetical protein%3B this gene contains a frame shift which is not the result of sequencing error%3B identified by Glimmer2	gene	gene840	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0841
MSMEG_0842	MSMEG_0842		MSMEG_0842	926980	927264	-	hypothetical protein		gene	gene841	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0842
MSMEG_0843	MSMEG_0843		MSMEG_0843	927500	927853	-	monovalent cation/H+ antiporter subunit G	subunit G of antiporter complex involved in resistance to high concentrations of Na+%2C K+%2C Li+ and/or alkali%3B in S. meliloti it is known to be involved specifically with K+ transport	gene	gene842	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0843
MSMEG_0844	MSMEG_0844		MSMEG_0844	927850	928140	-	monovalent cation/H+ antiporter subunit F	subunit F of antiporter complex involved in resistance to high concentrations of Na+%2C K+%2C Li+ and/or alkali	gene	gene843	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0844
MSMEG_0845	MSMEG_0845		MSMEG_0845	928137	928676	-	monovalent cation/H+ antiporter subunit E	subunit E of antiporter complex involved in resistance to high concentrations of Na+%2C K+%2C Li+ and/or alkali%3B in S. meliloti it is known to be involved specifically with K+ transport	gene	gene844	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0845
MSMEG_0846	MSMEG_0846		MSMEG_0846	928673	930268	-	monovalent cation/H+ antiporter subunit D	subunit D of antiporter complex involved in resistance to high concentrations of Na+%2C K+%2C Li+ and/or alkali%3B contains an oxidoreductase domain%3B catalyzes the transfer of electrons from NADH to ubiquinone	gene	gene845	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0846
MSMEG_0847	MSMEG_0847		MSMEG_0847	930265	930732	-	monovalent cation/H+ antiporter subunit C	subunit C of antiporter complex involved in resistance to high concentrations of Na+%2C K+%2C Li+ and/or alkali	gene	gene846	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0847
MSMEG_0848	MSMEG_0848		MSMEG_0848	930732	933611	-	monovalent cation/H+ antiporter subunit A	subunit A of antiporter complex involved in resistance to high concentrations of Na+%2C K+%2C Li+ and/or alkali	gene	gene847	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0848
MSMEG_0849	MSMEG_0849		MSMEG_0849	933768	934085	+	oxygenase		gene	gene848	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0849
MSMEG_0850	MSMEG_0850		MSMEG_0850	934162	935004	+	hypothetical protein		gene	gene849	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0850
MSMEG_0851	MSMEG_0851		MSMEG_0851	935059	936345	-	citrate transporter	identified by match to protein family HMM PF02040%3B match to protein family HMM PF03600	gene	gene850	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0851
MSMEG_0852	MSMEG_0852		MSMEG_0852	936364	936822	-	hypothetical protein	identified by match to protein family HMM PF00571	gene	gene851	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0852
MSMEG_0853	MSMEG_0853		MSMEG_0853	936855	937103	-	hypothetical protein		gene	gene852	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0853
MSMEG_0854	MSMEG_0854		MSMEG_0854	937236	938204	+	two-component system sensor kinase	identified by match to protein family HMM PF00672%3B match to protein family HMM PF02518%3B match to protein family HMM PF07730	gene	gene853	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0854
MSMEG_0855	MSMEG_0855		MSMEG_0855	938818	939270	-	hypothetical protein	identified by match to protein family HMM PF08044	gene	gene855	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0855
MSMEG_0856	MSMEG_0856		MSMEG_0856	938204	938851	+	LuxR family transcriptional regulator	identified by match to protein family HMM PF00072%3B match to protein family HMM PF00196	gene	gene854	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0856
MSMEG_0857	MSMEG_0857		MSMEG_0857	939331	939645	-	hypothetical protein		gene	gene856	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0857
MSMEG_0858	MSMEG_0858		MSMEG_0858	940749	942986	-	cell division control protein Cdc48	identified by match to protein family HMM PF00004%3B match to protein family HMM PF02359	gene	gene858	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0858
MSMEG_0859	MSMEG_0859		MSMEG_0859	939739	940752	+	TetR family transcriptional regulator	identified by match to protein family HMM PF00440	gene	gene857	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0859
MSMEG_0860	MSMEG_0860		MSMEG_0860	942988	943848	-	CDP-diacylglycerol--serine O-phosphatidyltransferase	identified by match to protein family HMM PF01066%3B match to protein family HMM TIGR00473	gene	gene859	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0860
MSMEG_0861	MSMEG_0861	psd	psd	943845	944543	-	phosphatidylserine decarboxylase	catalyzes the decarboxylaton of phospatidyl-L-sering to phosphatidylethanolamine	gene	gene860	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0861
MSMEG_0862	MSMEG_0862		MSMEG_0862	944579	945775	-	molybdopterin biosynthesis protein MoeA	identified by match to protein family HMM PF00994%3B match to protein family HMM PF03453%3B match to protein family HMM PF03454%3B match to protein family HMM TIGR00177	gene	gene861	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0862
MSMEG_0863	MSMEG_0863		MSMEG_0863	945772	946695	-	short chain dehydrogenase	identified by match to protein family HMM PF00106	gene	gene862	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0863
MSMEG_0864	MSMEG_0864		MSMEG_0864	946733	947272	+	membrane flanked domain-containing protein	identified by match to protein family HMM PF03703	gene	gene863	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0864
MSMEG_0865	MSMEG_0865		MSMEG_0865	947269	948768	+	membrane flanked domain-containing protein	identified by match to protein family HMM PF03703	gene	gene864	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0865
MSMEG_0866	MSMEG_0866		MSMEG_0866	949606	951312	-	DNA or RNA helicase of superfamily protein II	identified by match to protein family HMM PF04851	gene	gene866	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0866
MSMEG_0867	MSMEG_0867		MSMEG_0867	948794	949609	+	hydrolase	identified by match to protein family HMM PF00702%3B match to protein family HMM TIGR01460	gene	gene865	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0867
MSMEG_0868	MSMEG_0868		MSMEG_0868	951585	955409	-	hypothetical protein		gene	gene867	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0868
MSMEG_0869	MSMEG_0869		MSMEG_0869	955503	955901	+	hypothetical protein		gene	gene868	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0869
MSMEG_0870	MSMEG_0870		MSMEG_0870	956321	958486	-	oxidoreductase	identified by match to protein family HMM PF01315%3B match to protein family HMM PF02738	gene	gene869	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0870
MSMEG_0871	MSMEG_0871		MSMEG_0871	958483	959457	-	aldehyde or xanthine dehydrogenase%2C molybdopterin binding subunit protein	identified by match to protein family HMM PF00941	gene	gene870	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0871
MSMEG_0872	MSMEG_0872		MSMEG_0872	959461	960078	-	twin-arginine translocation pathway signal	identified by match to protein family HMM PF00111%3B match to protein family HMM PF01799	gene	gene871	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0872
MSMEG_0873	MSMEG_0873		MSMEG_0873	960209	960379	-	hypothetical protein		gene	gene872	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0873
MSMEG_0874	MSMEG_0874		MSMEG_0874	960615	961319	+	GntR family transcriptional regulator	identified by match to protein family HMM PF00392%3B match to protein family HMM PF07729	gene	gene873	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0874
MSMEG_0875	MSMEG_0875		MSMEG_0875	961391	962794	+	sialic acid transporter	identified by match to protein family HMM PF00083%3B match to protein family HMM PF07690	gene	gene874	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0875
MSMEG_0876	MSMEG_0876		MSMEG_0876	963720	964637	-	short chain dehydrogenase	identified by match to protein family HMM PF00106	gene	gene876	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0876
MSMEG_0877	MSMEG_0877		MSMEG_0877	962791	963723	+	dihydrodipicolinate synthase	identified by match to protein family HMM PF00701	gene	gene875	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0877
MSMEG_0878	MSMEG_0878		MSMEG_0878	964736	965305	+	transcriptional regulator	identified by match to protein family HMM PF00440	gene	gene877	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0878
MSMEG_0879	MSMEG_0879		MSMEG_0879	965380	965526	-	hypothetical protein		gene	gene878	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0879
MSMEG_0880	MSMEG_0880	groEL	groEL	965533	967158	+	molecular chaperone GroEL	60 kDa chaperone family%3B promotes refolding of misfolded polypeptides especially under stressful conditions%3B forms two stacked rings of heptamers to form a barrel-shaped 14mer%3B ends can be capped by GroES%3B misfolded proteins enter the barrel where they are refolded when GroES binds%3B many bacteria have multiple copies of the groEL gene which are active under different environmental conditions%3B the B.japonicum protein in this cluster is expressed constitutively%3B in Rhodobacter%2C Corynebacterium and Rhizobium this protein is essential for growth	gene	gene879	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0880
MSMEG_0881	MSMEG_0881		MSMEG_0881	967303	968136	+	hypothetical protein		gene	gene880	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0881
MSMEG_0882	MSMEG_0882		MSMEG_0882	968200	968583	-	hypothetical protein		gene	gene881	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0882
MSMEG_0883	MSMEG_0883		MSMEG_0883	968609	970351	-	amidohydrolase	identified by match to protein family HMM PF07908%3B match to protein family HMM PF07969	gene	gene882	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0883
MSMEG_0884	MSMEG_0884		MSMEG_0884	970433	970813	+	glyoxalase	identified by match to protein family HMM PF00903	gene	gene883	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0884
MSMEG_0885	MSMEG_0885		MSMEG_0885	970817	971320	-	hypothetical protein		gene	gene884	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0885
MSMEG_0886	MSMEG_0886		MSMEG_0886	971320	972810	-	serine/threonine protein kinase	identified by match to protein family HMM PF00069	gene	gene885	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0886
MSMEG_0887	MSMEG_0887		MSMEG_0887	972865	973422	+	hypothetical protein		gene	gene886	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0887
MSMEG_0888	MSMEG_0888		MSMEG_0888	973419	973982	+	hypothetical protein		gene	gene887	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0888
MSMEG_0889	MSMEG_0889		MSMEG_0889	973997	975526	+	succinate-semialdehyde dehydrogenase	identified by match to protein family HMM PF00171	gene	gene888	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0889
MSMEG_0890	MSMEG_0890		MSMEG_0890	975595	976194	+	HD domain-containing protein	identified by match to protein family HMM PF01966%3B match to protein family HMM TIGR00277	gene	gene889	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0890
MSMEG_0891	MSMEG_0891		MSMEG_0891	976256	977107	+	polyphosphate kinase	identified by match to protein family HMM PF03976	gene	gene890	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0891
MSMEG_0892	MSMEG_0892		MSMEG_0892	977160	978005	+	hypothetical protein		gene	gene891	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0892
MSMEG_0893	MSMEG_0893		MSMEG_0893	978024	978347	-	hypothetical protein		gene	gene892	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0893
MSMEG_0894	MSMEG_0894		MSMEG_0894	978540	979904	+	dihydrodipicolinate reductase	identified by match to protein family HMM PF01408%3B match to protein family HMM PF03447	gene	gene893	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0894
MSMEG_0895	MSMEG_0895		MSMEG_0895	980004	980747	+	GntR family transcriptional regulator	identified by match to protein family HMM PF00392%3B match to protein family HMM PF07729	gene	gene894	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0895
MSMEG_0896	MSMEG_0896		MSMEG_0896	980820	982190	+	integral membrane transporter	identified by match to protein family HMM PF00083%3B match to protein family HMM PF07690	gene	gene895	http://www.ncbi.nlm.nih.gov/gene/?term=MSMEG_0896
